"recipient_country","Alpha_3_code","2018","2019","2020","change_in_2020","average_2018_2019","change_from_average"
"Afghanistan","AFG",686,79,55,-30,382.5,-86
"Albania","ALB",76,23,21,-9,49.5,-58
"Angola","AGO",20,6,5,-17,13,-62
"Argentina","ARG",17,8,6,-25,12.5,-52
"Armenia","ARM",179,39,36,-8,109,-67
"Azerbaijan","AZE",35,5,2,-60,20,-90
"Bahamas (The)","BHS",66,25,5,-80,45.5,-89
"Bangladesh","BGD",59,58,37,-36,58.5,-37
"Barbados","BRB",77,29,22,-24,53,-58
"Belarus","BLR",28,11,6,-45,19.5,-69
"Belize","BLZ",128,47,29,-38,87.5,-67
"Benin","BEN",53,16,11,-31,34.5,-68
"Bolivia (Plurinational State Of)","BOL",18,6,3,-50,12,-75
"Bosnia And Herzegovina","BIH",162,26,31,19,94,-67
"Botswana","BWA",140,60,51,-15,100,-49
"Brazil","BRA",38,19,8,-58,28.5,-72
"Burkina Faso","BFA",45,46,30,-35,45.5,-34
"Burundi","BDI",27,13,16,23,20,-20
"C̫te D'Ivoire","CIV",126,14,17,21,70,-76
"Cabo Verde","CPV",9,8,5,-38,8.5,-41
"Cambodia","KHM",38,18,9,-50,28,-68
"Cameroon","CMR",81,35,34,-3,58,-41
"Central African Republic (The)","CAF",82,15,15,0,48.5,-69
"Chad","TCD",33,21,24,14,27,-11
"China","CHN",25,18,8,-56,21.5,-63
"Colombia","COL",742,176,170,-3,459,-63
"Congo (The Democratic Republic Of The)","COD",133,64,49,-23,98.5,-50
"Congo (The)","COG",8,8,5,-38,8,-38
"Costa Rica","CRI",199,224,165,-26,211.5,-22
"Croatia","HRV",45,7,3,-57,26,-88
"Cuba","CUB",5,5,2,-60,5,-60
"Dominican Republic (The)","DOM",163,65,42,-35,114,-63
"Ecuador","ECU",44,48,74,54,46,61
"Egypt","EGY",61,30,19,-37,45.5,-58
"El Salvador","SLV",540,115,169,47,327.5,-48
"Eritrea","ERI",2,6,2,-67,4,-50
"Eswatini","SWZ",47,17,16,-6,32,-50
"Ethiopia","ETH",121,101,89,-12,111,-20
"Gambia (The)","GMB",9,8,1,-88,8.5,-88
"Georgia","GEO",6,12,7,-42,9,-22
"Ghana","GHA",135,48,26,-46,91.5,-72
"Guatemala","GTM",801,223,289,30,512,-44
"Guinea","GIN",90,13,17,31,51.5,-67
